J,Knudsen_droplet,N,Points_0,Points_1,Points_2,S_sat,Y,drdt,r_droplet_actual
0,0,0,0.4425,0,0.005,3.05325,0,0,0
0,0,0,0.444,0,0.005,3.0664,0,0,0
0,0,0,0.4455,0,0.005,3.07982,0,0,0
0,0,0,0.447,0,0.005,3.09346,0,0,0
0,0,0,0.4485,0,0.005,3.10709,0,0,0
0,0,0,0.45,0,0.005,3.12088,0,0,0
0,0,0,0.4515,0,0.005,3.13502,0,0,0
0,0,0,0.453,0,0.005,3.14916,0,0,0
0,0,0,0.4545,0,0.005,3.16335,0,0,0
0,0,0,0.456,0,0.005,3.17801,0,0,0
0,0,0,0.4575,0,0.005,3.19266,0,0,0
0,0,0,0.459,0,0.005,3.20732,0,0,0
0,0,0,0.4605,0,0.005,3.22245,0,0,0
0,0,0,0.462,0,0.005,3.23765,0,0,0
0,0,0,0.4635,0,0.005,3.25285,0,0,0
0,0,0,0.465,0,0.005,3.26843,0,0,0
0,0,0,0.4665,0,0.005,3.28419,0,0,0
0,0,0,0.468,0,0.005,3.29995,0,0,0
0,0,0,0.4695,0,0.005,3.31599,0,0,0
0,0,0,0.471,0,0.005,3.33233,0,0,0
0,0,0,0.4725,0,0.005,3.34867,0,0,0
0,0,0,0.474,0,0.005,3.3652,0,0,0
0,0,0,0.4755,0,0.005,3.38213,0,0,0
0,0,0,0.477,0,0.005,3.39906,0,0,0
0,0,0,0.4785,0,0.005,3.4161,0,0,0
0,0,0,0.48,0,0.005,3.43364,0,0,0
0,0,0,0.4815,0,0.005,3.45118,0,0,0
0,0,0,0.483,0,0.005,3.46874,0,0,0
0,0,0,0.4845,0,0.005,3.48691,0,0,0
0,0,0,0.486,0,0.005,3.50508,0,0,0
0,0,0,0.4875,0,0.005,3.52325,0,0,0
0,0,0,0.489,0,0.005,3.54201,0,0,0
0,0,0,0.4905,0,0.005,3.56082,0,0,0
0,0,0,0.492,0,0.005,3.57963,0,0,0
0,0,0,0.4935,0,0.005,3.59898,0,0,0
0,0,0,0.495,0,0.005,3.61847,0,0,0
0,0,0,0.4965,0,0.005,3.63795,0,0,0
0,0,0,0.498,0,0.005,3.65791,0,0,0
0,0,0,0.4995,0,0.005,3.67808,0,0,0
0,0,0,0.501,0,0.005,3.69825,0,0,0
0,0,0,0.5025,0,0.005,3.71886,0,0,0
0,0,0,0.504,0,0.005,3.73975,0,0,0
0,0,0,0.5055,0,0.005,3.76064,0,0,0
0,0,0,0.507,0,0.005,3.78192,0,0,0
0,0,0,0.5085,0,0.005,3.80354,0,0,0
0,0,0,0.51,0,0.005,3.82515,0,0,0
0,0,0,0.5115,0,0.005,3.84715,0,0,0
0,0,0,0.513,0,0.005,3.86953,0,0,0
0,0,0,0.5145,0,0.005,3.89191,0,0,0
0,0,0,0.516,0,0.005,3.91465,0,0,0
0,0,0,0.5175,0,0.005,3.93782,0,0,0
0,0,0,0.519,0,0.005,3.96098,0,0,0
0,0,0,0.5205,0,0.005,3.9845,0,0,0
0,0,0,0.522,0,0.005,4.00847,0,0,0
0,0,0,0.5235,0,0.005,4.03245,0,0,0
0,0,0,0.525,0,0.005,4.05678,0,0,0
0,0,0,0.5265,0,0.005,4.08161,0,0,0
0,0,0,0.528,0,0.005,4.10643,0,0,0
0,0,0,0.5295,0,0.005,4.13162,0,0,0
0,0,0,0.531,0,0.005,4.1573,0,0,0
0,0,0,0.5325,0,0.005,4.18299,0,0,0
0,0,0,0.534,0,0.005,4.20907,0,0,0
0,0,0,0.5355,0,0.005,4.23567,0,0,0
0,0,0,0.537,0,0.005,4.26226,0,0,0
0,0,0,0.5385,0,0.005,4.2893,0,0,0
0,0,0,0.54,0,0.005,4.31682,0,0,0
0,0,0,0.5415,0,0.005,4.34434,0,0,0
0,0,0,0.543,0,0.005,4.37237,0,0,0
0,0,0,0.5445,0,0.005,4.40087,0,0,0
0,0,0,0.546,0,0.005,4.42938,0,0,0
0,0,0,0.5475,0,0.005,4.45845,0,0,0
0,0,0,0.549,0,0.005,4.48795,0,0,0
0,0,0,0.5505,0,0.005,4.51746,0,0,0
0,0,0,0.552,0,0.005,4.54764,0,0,0
0,0,0,0.5535,0,0.005,4.57819,0,0,0
0,0,0,0.555,0,0.005,4.60875,0,0,0
0,0,0,0.5565,0,0.005,4.64009,0,0,0
0,0,0,0.558,0,0.005,4.67172,0,0,0
0,0,0,0.5595,0,0.005,4.70336,0,0,0
0,0,0,0.561,0,0.005,4.73593,0,0,0
0,0,0,0.5625,0,0.005,4.76869,0,0,0
0,0,0,0.564,0,0.005,4.80146,0,0,0
0,0,0,0.5655,0,0.005,4.83534,0,0,0
0,0,0,0.567,0,0.005,4.86928,0,0,0
0,0,0,0.5685,0,0.005,4.90331,0,0,0
0,0,0,0.57,0,0.005,4.93847,0,0,0
0,0,0,0.5715,0,0.005,4.97363,0,0,0
0,0,0,0.573,0,0.005,5.00905,0,0,0
0,0,0,0.5745,0,0.005,5.04548,0,0,0
0,0,0,0.576,0,0.005,5.08191,0,0,0
0,0,0,0.5775,0,0.005,5.11881,0,0,0
0,0,0,0.579,0,0.005,5.15655,0,0,0
0,0,0,0.5805,0,0.005,5.19429,0,0,0
0,0,0,0.582,0,0.005,5.23274,0,0,0
0,0,0,0.5835,0,0.005,5.27185,0,0,0
0,0,0,0.585,0,0.005,5.31096,0,0,0
0,0,0,0.5865,0,0.005,5.35107,0,0,0
0,0,0,0.588,0,0.005,5.3916,0,0,0
0,0,0,0.5895,0,0.005,5.43213,0,0,0
0,0,0,0.591,0,0.005,5.47396,0,0,0
0,0,0,0.5925,0,0.005,5.51596,0,0,0
0,0,0,0.594,0,0.005,5.55811,0,0,0
0,0,0,0.5955,0,0.005,5.60166,0,0,0
0,0,0,0.597,0,0.005,5.6452,0,0,0
0,0,0,0.5985,0,0.005,5.68925,0,0,0
0,0,0,0.6,0,0.005,5.73438,0,0,0
0,0,0,0.6015,0,0.005,5.77951,0,0,0
0,0,0,0.603,0,0.005,5.82555,0,0,0
0,0,0,0.6045,0,0.005,5.87236,0,0,0
0,0,0,0.606,0,0.005,5.91917,0,0,0
0,0,0,0.6075,0,0.005,5.96732,0,0,0
0,0,0,0.609,0,0.005,6.01583,0,0,0
0,0,0,0.6105,0,0.005,6.06442,0,0,0
0,0,0,0.612,0,0.005,6.11472,0,0,0
0,0,0,0.6135,0,0.005,6.16502,0,0,0
0,0,0,0.615,0,0.005,6.2159,0,0,0
0,0,0,0.6165,0,0.005,6.26805,0,0,0
0,0,0,0.618,0,0.005,6.32019,0,0,0
0,0,0,0.6195,0,0.005,6.37347,0,0,0
0,0,0,0.621,0,0.005,6.42752,0,0,0
0,0,0,0.6225,0,0.005,6.48157,0,0,0
0,0,0,0.624,0,0.005,6.53741,0,0,0
0,0,0,0.6255,0,0.005,6.59346,0,0,0
0,0,0,0.627,0,0.005,6.64991,0,0,0
0,0,0,0.6285,0,0.005,6.70803,0,0,0
0,0,0,0.63,0,0.005,6.76614,0,0,0
0,0,0,0.6315,0,0.005,6.82538,0,0,0
0,0,0,0.633,0,0.005,6.88565,0,0,0
0,0,0,0.6345,0,0.005,6.94593,0,0,0
0,0,0,0.636,0,0.005,7.00812,0,0,0
0,0,0,0.6375,0,0.005,7.07066,0,0,0
0,0,0,0.639,0,0.005,7.13364,0,0,0
0,0,0,0.6405,0,0.005,7.19848,0,0,0
0,0,0,0.642,0,0.005,7.26332,0,0,0
0,0,0,0.6435,0,0.005,7.32949,0,0,0
0,0,0,0.645,0,0.005,7.39677,0,0,0
0,0,0,0.6465,0,0.005,7.46404,0,0,0
0,0,0,0.648,0,0.005,7.53356,0,0,0
0,0,0,0.6495,0,0.005,7.60329,0,0,0
0,0,0,0.651,0,0.005,7.67379,0,0,0
0,0,0,0.6525,0,0.005,7.74612,0,0,0
0,0,0,0.654,0,0.005,7.81846,0,0,0
0,0,0,0.6555,0,0.005,7.89265,0,0,0
0,0,0,0.657,0,0.005,7.96768,0,0,0
0,0,0,0.6585,0,0.005,8.04298,0,0,0
0,0,0,0.66,0,0.005,8.12082,0,0,0
0,0,0,0.6615,0,0.005,8.19865,0,0,0
0,0,0,0.663,0,0.005,8.27799,0,0,0
0,0,0,0.6645,0,0.005,8.35876,0,0,0
0,0,0,0.666,0,0.005,8.43953,0,0,0
0,0,0,0.6675,0,0.005,8.5231,0,0,0
0,0,0,0.669,0,0.005,8.60683,0,0,0
0,0,0,0.6705,0,0.005,8.69174,0,0,0
0,0,0,0.672,0,0.005,8.77854,0,0,0
0,0,0,0.6735,0,0.005,8.86534,0,0,0
0,0,0,0.675,0,0.005,8.95479,0,0,0
0,0,0,0.6765,0,0.005,9.04476,0,0,0
0,0,0,0.678,0,0.005,9.13572,0,0,0
0,0,0,0.6795,0,0.005,9.22895,0,0,0
0,0,0,0.681,0,0.005,9.32218,0,0,0
0,0,0,0.6825,0,0.005,9.41814,0,0,0
0,0,0,0.684,0,0.005,9.51487,0,0,0
0,0,0,0.6855,0,0.005,9.61255,0,0,0
0,0,0,0.687,0,0.005,9.71286,0,0,0
0,0,0,0.6885,0,0.005,9.81316,0,0,0
0,0,0,0.69,0,0.005,9.91637,0,0,0
0,0,0,0.6915,0,0.005,10.0205,0,0,0
0,0,0,0.693,0,0.005,10.1256,0,0,0
0,0,0,0.6945,0,0.005,10.2336,0,0,0
0,0,0,0.696,0,0.005,10.3416,0,0,0
0,0,0,0.6975,0,0.005,10.4527,0,0,0
0,0,0,0.699,0,0.005,10.5647,0,0,0
0,0,0,0.7005,0,0.005,10.678,0,0,0
0,0,0,0.702,0,0.005,10.7942,0,0,0
0,0,0,0.7035,0,0.005,10.9103,0,0,0
0,0,0,0.705,0,0.005,11.0302,0,0,0
0,0,0,0.7065,0,0.005,11.1506,0,0,0
0,0,0,0.708,0,0.005,11.273,0,0,0
0,0,0,0.7095,0,0.005,11.3979,0,0,0
0,0,0,0.711,0,0.005,11.5228,0,0,0
0,0,0,0.7125,0,0.005,11.6523,0,0,0
0,0,0,0.714,0,0.005,11.7818,0,0,0
0,0,0,0.7155,0,0.005,11.9139,0,0,0
0,0,0,0.717,0,0.005,12.0479,0,0,0
0,0,0,0.7185,0,0.005,12.1827,0,0,0
0,0,0,0.72,0,0.005,12.3217,0,0,0
0,0,0,0.7215,0,0.005,12.4606,0,0,0
0,0,0,0.723,0,0.005,12.6034,0,0,0
0,0,0,0.7245,0,0.005,12.7473,0,0,0
0,0,0,0.726,0,0.005,12.8932,0,0,0
