Mach,Points_0,Points_1,Points_2,p_p0
0.744354,0.549,0,0.005,0.702238
0.745953,0.5505,0,0.005,0.701221
0.747563,0.552,0,0.005,0.700197
0.749178,0.5535,0,0.005,0.69917
0.750794,0.555,0,0.005,0.698143
0.75242,0.5565,0,0.005,0.697108
0.754051,0.558,0,0.005,0.696071
0.755682,0.5595,0,0.005,0.695035
0.757325,0.561,0,0.005,0.69399
0.758971,0.5625,0,0.005,0.692943
0.760617,0.564,0,0.005,0.691896
0.762277,0.5655,0,0.005,0.69084
0.763937,0.567,0,0.005,0.689784
0.765599,0.5685,0,0.005,0.688727
0.767273,0.57,0,0.005,0.687661
0.768948,0.5715,0,0.005,0.686596
0.770625,0.573,0,0.005,0.685528
0.772313,0.5745,0,0.005,0.684452
0.774001,0.576,0,0.005,0.683377
0.775693,0.5775,0,0.005,0.682298
0.777394,0.579,0,0.005,0.681214
0.779094,0.5805,0,0.005,0.680129
0.780801,0.582,0,0.005,0.679039
0.782514,0.5835,0,0.005,0.677945
0.784227,0.585,0,0.005,0.676852
0.785949,0.5865,0,0.005,0.675751
0.787673,0.588,0,0.005,0.674648
0.789398,0.5895,0,0.005,0.673545
0.791133,0.591,0,0.005,0.672434
0.792869,0.5925,0,0.005,0.671322
0.794607,0.594,0,0.005,0.670209
0.796355,0.5955,0,0.005,0.669088
0.798104,0.597,0,0.005,0.667967
0.799856,0.5985,0,0.005,0.666843
0.801615,0.6,0,0.005,0.665713
0.803375,0.6015,0,0.005,0.664583
0.805142,0.603,0,0.005,0.663449
0.806914,0.6045,0,0.005,0.66231
0.808686,0.606,0,0.005,0.661171
0.810466,0.6075,0,0.005,0.660025
0.812249,0.609,0,0.005,0.658878
0.814033,0.6105,0,0.005,0.657731
0.815828,0.612,0,0.005,0.656576
0.817623,0.6135,0,0.005,0.65542
0.819422,0.615,0,0.005,0.654262
0.821228,0.6165,0,0.005,0.653098
0.823035,0.618,0,0.005,0.651935
0.824848,0.6195,0,0.005,0.650766
0.826666,0.621,0,0.005,0.649595
0.828484,0.6225,0,0.005,0.648424
0.830313,0.624,0,0.005,0.647245
0.832143,0.6255,0,0.005,0.646066
0.833976,0.627,0,0.005,0.644886
0.835818,0.6285,0,0.005,0.643699
0.83766,0.63,0,0.005,0.642513
0.839509,0.6315,0,0.005,0.641322
0.841365,0.633,0,0.005,0.640128
0.84322,0.6345,0,0.005,0.638934
0.845086,0.636,0,0.005,0.637733
0.846955,0.6375,0,0.005,0.636531
0.848825,0.639,0,0.005,0.635328
0.850706,0.6405,0,0.005,0.634119
0.852587,0.642,0,0.005,0.63291
0.854475,0.6435,0,0.005,0.631698
0.856369,0.645,0,0.005,0.630482
0.858263,0.6465,0,0.005,0.629266
0.860168,0.648,0,0.005,0.628045
0.862075,0.6495,0,0.005,0.626823
0.863985,0.651,0,0.005,0.625599
0.865904,0.6525,0,0.005,0.624371
0.867823,0.654,0,0.005,0.623143
0.869751,0.6555,0,0.005,0.62191
0.871683,0.657,0,0.005,0.620675
0.873617,0.6585,0,0.005,0.61944
0.875562,0.66,0,0.005,0.618199
0.877507,0.6615,0,0.005,0.616958
0.87946,0.663,0,0.005,0.615713
0.881419,0.6645,0,0.005,0.614466
0.883379,0.666,0,0.005,0.613218
0.88535,0.6675,0,0.005,0.611966
0.887321,0.669,0,0.005,0.610714
0.889298,0.6705,0,0.005,0.60946
0.891281,0.672,0,0.005,0.608203
0.893264,0.6735,0,0.005,0.606946
0.895256,0.675,0,0.005,0.605686
0.89725,0.6765,0,0.005,0.604425
0.899247,0.678,0,0.005,0.603163
0.90125,0.6795,0,0.005,0.601898
0.903253,0.681,0,0.005,0.600633
0.905263,0.6825,0,0.005,0.599365
0.907275,0.684,0,0.005,0.598095
0.909289,0.6855,0,0.005,0.596824
0.911309,0.687,0,0.005,0.59555
0.913328,0.6885,0,0.005,0.594277
0.915353,0.69,0,0.005,0.592999
0.917379,0.6915,0,0.005,0.591721
0.919407,0.693,0,0.005,0.590441
0.921438,0.6945,0,0.005,0.589158
0.92347,0.696,0,0.005,0.587875
0.925505,0.6975,0,0.005,0.58659
0.927541,0.699,0,0.005,0.585304
0.929579,0.7005,0,0.005,0.584017
0.931622,0.702,0,0.005,0.582727
0.933665,0.7035,0,0.005,0.581437
0.935713,0.705,0,0.005,0.580144
0.937761,0.7065,0,0.005,0.578852
0.939812,0.708,0,0.005,0.577558
0.941867,0.7095,0,0.005,0.576262
0.943922,0.711,0,0.005,0.574967
0.945984,0.7125,0,0.005,0.573668
0.948045,0.714,0,0.005,0.572369
0.950108,0.7155,0,0.005,0.571071
0.952171,0.717,0,0.005,0.569773
0.954236,0.7185,0,0.005,0.568474
0.956307,0.72,0,0.005,0.567174
0.958377,0.7215,0,0.005,0.565874
0.96045,0.723,0,0.005,0.564573
0.962523,0.7245,0,0.005,0.563272
0.964596,0.726,0,0.005,0.561971
0.96667,0.7275,0,0.005,0.56067
0.968743,0.729,0,0.005,0.559369
0.970818,0.7305,0,0.005,0.558068
0.972893,0.732,0,0.005,0.556768
0.974962,0.7335,0,0.005,0.555472
0.977028,0.735,0,0.005,0.554178
0.979091,0.7365,0,0.005,0.552887
0.981151,0.738,0,0.005,0.551601
0.98321,0.7395,0,0.005,0.550314
0.985241,0.741,0,0.005,0.549047
0.98727,0.7425,0,0.005,0.54778
0.989286,0.744,0,0.005,0.546523
0.991295,0.7455,0,0.005,0.545272
0.993382,0.747,0,0.005,0.543974
0.995644,0.7485,0,0.005,0.542568
0.997907,0.75,0,0.005,0.541163
1.00057,0.7515,0,0.005,0.539511
1.00324,0.753,0,0.005,0.537859
1.00578,0.7545,0,0.005,0.53629
1.00827,0.756,0,0.005,0.534756
1.01055,0.7575,0,0.005,0.533347
1.0125,0.759,0,0.005,0.532147
1.01445,0.7605,0,0.005,0.530951
1.01625,0.762,0,0.005,0.529844
1.01805,0.7635,0,0.005,0.528736
1.02,0.765,0,0.005,0.527542
1.02201,0.7665,0,0.005,0.526309
1.02409,0.768,0,0.005,0.525038
1.0263,0.7695,0,0.005,0.523695
1.0285,0.771,0,0.005,0.522351
1.03074,0.7725,0,0.005,0.52099
1.03297,0.774,0,0.005,0.519629
1.03522,0.7755,0,0.005,0.518263
1.03747,0.777,0,0.005,0.516895
1.03972,0.7785,0,0.005,0.515531
1.04194,0.78,0,0.005,0.514186
1.04417,0.7815,0,0.005,0.51284
1.04632,0.783,0,0.005,0.511538
1.04846,0.7845,0,0.005,0.510246
1.0506,0.786,0,0.005,0.508958
1.05273,0.7875,0,0.005,0.507677
1.05485,0.789,0,0.005,0.506397
1.05699,0.7905,0,0.005,0.505116
1.05912,0.792,0,0.005,0.503836
1.06126,0.7935,0,0.005,0.50256
1.06338,0.795,0,0.005,0.501286
1.06552,0.7965,0,0.005,0.50001
1.0677,0.798,0,0.005,0.498709
1.06989,0.7995,0,0.005,0.497409
1.07211,0.801,0,0.005,0.49609
1.07434,0.8025,0,0.005,0.494763
1.07658,0.804,0,0.005,0.493437
1.07881,0.8055,0,0.005,0.492119
